,conceptId,Primary Source,conceptId,Secondary Source,conceptId,Question Text,Variable Label,Variable Name,Variable Type,Variable Length,conceptId,Format/Value,Response Label (select as many as apply questions only),Response Variable Name (select as many as apply questions only),Required,PII,Questions/Notes,Personal Note
,979753224,Recruitment,909182835,Sign in,416477527,Site Study ID,Study ID,studyId,Char,N/A,,N/A,,,Yes,No,"ID assigned by sites for patient, specifically for the Connect study. Format determined by sites",
,979753224,Recruitment,909182835,Sign in,191186849,Token generated before the website visit or at sign-in.,Token,token,Char,36,,N/A,,,Yes,No,Used to peronalized the sign-in URL and to track participant progress through the Connect workflows.  Passive recruits are assigned a token by the PWA after sign-in.,
,979753224,Recruitment,909182835,Sign in,191073965,Pin generated by DCEG prior to sign-in,PIN,pin,Char,6,,N/A,,,No,No,Usesd by active recruits at sign-in if not signing in through a personalized URL,
,979753224,Recruitment,909182835,Sign in,238093309,Autogenerated flag - Token or pin assigned ,Token or pin assigned,RcrtSI_TokenAssigned_v1r0,Num,1,554699872,0 = No,,,Yes,No,All study IDs submitted by sites for which a token or pin has been assigned will be flagged as 1. There shoud be no instances of a StudyID in our system assigned a zero.  Passive recruits will be assigned a 1 after completing sign-n which includes selecting a site.,"This flag may be a check for setting other flags, see if Bhaumik has input",
,,,,,,,,,,,241065629,1 = Yes,,,,,,
,979753224,Recruitment,909182835,Sign in,107854480,Autogenerated flag - Recruitment type,Recruitment type,RcrtSI_RecruitType_v1r0,Num,1,496287518,0 = Not active,,,Yes,No,"All Study IDs for which the sites have incicated they are activily recruiting will be flagged as 1.  Individuals with a token, but who are not being activly recruited are flagged as zero (default). All individuals who sign in without a valid token or pin are flagged as 2.","Confirm with Bhaumik that this still works with the new API, Review recruitment workflows to see if any change is needed.",
,,,,,,,,,,,156851693,1 = Active,,,,,,
,,,,,,,,,,,178088097,2 = Passive,,,,,,
,979753224,Recruitment,909182835,Sign in,089006935,Autogenerated date/time for recruitment type flag,Time recruitment type assigned,RcrtSI_TypeTime_v1r0,DATETIME20,20,,ddmonyyyy:hh:mm:ss (01JAN2020:04:23:53),,,Yes  ,No,ISO to be converted to SAS format,"Can convert if easier for the sites, can Bhaumik give me an example of the ISO format",
,979753224,Recruitment,909182835,Sign in,223073125,Site reported age at recruitment,Site reported age at recruitment,RcrtSI_Age_v1r0,Num,1,801097043,0 = 40-45,,,Yes ,No,,"Should be sent with push of active recruits confirm with Bhaumik, Montse had concerns about the flexible API",
,,,,,,,,,,,264841259,1 = 46-50,,,,,,
,,,,,,,,,,,626030825,2 = 51-55,,,,,,
,,,,,,,,,,,445709805,3 = 56-60,,,,,,
,,,,,,,,,,,739407605,4 = 61-65,,,,,,
,979753224,Recruitment,909182835,Sign in,651611276,Site reported race,Site reported race,RcrtSI_Race_v1r0,Num,1,568396268,0 = American Indian/Alaskan Native,,,Yes - if site wants break out for dashboard,No,Currently assume sites will send this info with the push of active recruits,Need to check SOPs for roll up
,,,,,,,,,,,725091459,1 = Asian,,,,,,
